theta1_init,theta2_init,theta1,theta2
0.0,0.0,0.0,0.0
0.0,1.2566370614359172,-0.6741143839241458,0.018898526483788449
0.0,2.5132741228718345,-0.053594256590504999,-1.4636541224949122
0.0,3.7699111843077517,0.053591943459106568,7.7468294658012846
0.0,5.026548245743669,0.67410824210927833,6.264297461075941
0.0,6.2831853071795862,4.3019659048004094e-15,6.28318530717958
1.2566370614359172,0.0,-0.24747636237140286,1.7331581536465688
1.2566370614359172,1.2566370614359172,-1.2503133629439789,-1.2368149894508171
1.2566370614359172,2.5132741228718345,0.031142824418836354,26.555521839308376
1.2566370614359172,3.7699111843077517,0.93755875192320426,-13.363035618964377
1.2566370614359172,5.026548245743669,0.4240195663762874,5.0446437520017913
1.2566370614359172,6.2831853071795862,-0.24748492029897079,8.0163307724887325
2.5132741228718345,0.0,1.1846064765368289,23.35474807423714
2.5132741228718345,1.2566370614359172,-7.3973830644695298,-34.691658284951636
2.5132741228718345,2.5132741228718345,1.4612653818552672,34.66802494021163
2.5132741228718345,3.7699111843077517,-6.4898446611766731,55.92759262171851
2.5132741228718345,5.026548245743669,-1.7836095601165975,76.491732262676621
2.5132741228718345,6.2831853071795862,-0.037588739200236303,41.5765225428135
3.7699111843077517,0.0,6.2797418444751809,3.559088223418382
3.7699111843077517,1.2566370614359172,6.5537436339733999,-24.302312964010156
3.7699111843077517,2.5132741228718345,-4.9383046937352795,-60.73851934797036
3.7699111843077517,3.7699111843077517,28.790055230510124,5.9512391993200051
3.7699111843077517,5.026548245743669,8.1083987120848171,44.052559142650914
3.7699111843077517,6.2831853071795862,4.7898600969834284,-31.683393494014652
5.026548245743669,0.0,6.5306568621500691,-1.7331638550423458
5.026548245743669,1.2566370614359172,5.8350339613340951,1.2364154537012917
5.026548245743669,2.5132741228718345,7.2486738204177836,40.220425298343251
5.026548245743669,3.7699111843077517,6.3921177127216531,9.4253046016365989
5.026548245743669,5.026548245743669,7.5334987581998529,7.5200002520289724
5.026548245743669,6.2831853071795862,6.5306712814597203,4.5500402730109544
6.2831853071795862,0.0,6.2831853071795765,2.1341422028005534e-14
6.2831853071795862,1.2566370614359172,5.6090722192252471,0.018896422035793312
6.2831853071795862,2.5132741228718345,6.2295920150124866,-1.4636530469825857
6.2831853071795862,3.7699111843077517,6.3367780299845631,7.7468389971952449
6.2831853071795862,5.026548245743669,6.9572983656206802,6.264289175403313
6.2831853071795862,6.2831853071795862,6.2831853071795853,6.2831853071795871
